chutes_1,chutes_2,chutes_no_alvo_1,chutes_no_alvo_2,posse_de_bola_1,posse_de_bola_2,passes_1,passes_2,precisao_passes_1,precisao_passes_2,faltas_1,faltas_2,cartao_amarelo_1,cartao_amarelo_2,cartao_vermelho_1,cartao_vermelho_2,impedimentos_1,impedimentos_2,escanteios_1,escanteios_2,resultado
9,12,0,0,0.55,0.45,484,399,0.8034264184397164,0.8052482269503546,13,16,1,3,1,0,1,3,4,4,1
16,9,0,0,0.51,0.49,433,442,0.8034264184397164,0.8052482269503546,13,18,1,2,0,0,2,2,5,4,2
17,14,0,0,0.61,0.39,459,297,0.8034264184397164,0.8052482269503546,11,19,4,4,0,0,3,1,9,7,0
8,3,0,0,0.49,0.51,392,393,0.8034264184397164,0.8052482269503546,9,22,1,2,0,0,0,2,4,10,1
11,11,0,0,0.64,0.36,509,301,0.8034264184397164,0.8052482269503546,4,13,3,2,0,0,2,3,11,7,0
12,19,0,0,0.44,0.56,303,388,0.8034264184397164,0.8052482269503546,19,18,2,3,0,0,1,1,4,5,1
26,10,0,0,0.55,0.45,443,395,0.8034264184397164,0.8052482269503546,17,14,4,2,0,0,2,0,9,3,0
7,11,0,0,0.49,0.51,457,473,0.8034264184397164,0.8052482269503546,15,17,1,2,0,0,3,5,6,6,0
13,13,0,0,0.7,0.3,526,221,0.8034264184397164,0.8052482269503546,12,14,2,2,0,0,3,2,9,6,1
8,12,0,0,0.49,0.51,447,453,0.8034264184397164,0.8052482269503546,15,12,4,1,0,0,3,1,5,5,1
8,16,0,0,0.47,0.53,491,516,0.8034264184397164,0.8052482269503546,11,6,0,0,0,0,0,4,2,7,0
15,20,0,0,0.4,0.6,301,440,0.8034264184397164,0.8052482269503546,21,17,4,2,0,0,3,2,9,9,0
10,16,0,0,0.41,0.59,337,457,0.8034264184397164,0.8052482269503546,17,16,2,4,0,0,0,0,3,4,1
17,13,0,0,0.48,0.52,415,446,0.8034264184397164,0.8052482269503546,21,18,4,3,0,0,4,4,5,7,1
8,13,0,0,0.63,0.37,568,347,0.8034264184397164,0.8052482269503546,11,8,2,2,0,0,0,3,6,2,0
10,19,0,0,0.41,0.59,354,503,0.8034264184397164,0.8052482269503546,16,13,1,4,1,0,4,7,5,8,0
12,16,0,0,0.43,0.57,417,553,0.8034264184397164,0.8052482269503546,12,16,4,2,0,0,1,1,5,4,1
10,8,0,0,0.51,0.49,321,331,0.8034264184397164,0.8052482269503546,13,20,1,1,0,0,2,0,7,5,0
9,9,0,0,0.47,0.53,390,458,0.8034264184397164,0.8052482269503546,10,16,2,3,0,1,1,1,7,4,1
9,9,0,0,0.55,0.45,475,402,0.8034264184397164,0.8052482269503546,11,14,1,3,0,0,1,0,8,3,1
8,21,0,0,0.48,0.52,343,370,0.8034264184397164,0.8052482269503546,22,12,4,3,1,0,0,8,6,6,1
17,2,0,0,0.55,0.45,507,450,0.8034264184397164,0.8052482269503546,6,16,1,3,0,0,0,0,12,1,0
7,15,0,0,0.48,0.52,356,376,0.8034264184397164,0.8052482269503546,18,18,4,3,1,0,0,1,6,6,2
8,17,0,0,0.4,0.6,315,465,0.8034264184397164,0.8052482269503546,14,20,3,6,2,0,0,0,8,8,1
10,15,0,0,0.43,0.57,391,491,0.8034264184397164,0.8052482269503546,8,11,1,2,0,0,4,2,4,9,1
4,14,0,0,0.37,0.63,318,539,0.8034264184397164,0.8052482269503546,6,13,1,1,0,0,1,3,1,4,1
9,24,0,0,0.4,0.6,413,563,0.8034264184397164,0.8052482269503546,12,10,3,2,0,0,2,1,3,12,2
14,8,0,0,0.33,0.67,298,627,0.8034264184397164,0.8052482269503546,10,10,1,2,0,0,0,3,8,9,1
20,13,0,0,0.56,0.44,389,323,0.8034264184397164,0.8052482269503546,12,19,3,1,0,0,1,0,7,3,2
13,8,0,0,0.63,0.37,502,307,0.8034264184397164,0.8052482269503546,10,13,1,1,1,0,2,3,11,4,0
14,5,0,0,0.34,0.66,339,636,0.8034264184397164,0.8052482269503546,4,4,0,1,0,0,1,0,8,7,2
12,21,0,0,0.38,0.62,300,466,0.8034264184397164,0.8052482269503546,18,15,2,2,0,0,0,4,3,6,1
5,19,0,0,0.42,0.58,330,442,0.8034264184397164,0.8052482269503546,18,14,1,1,1,0,1,1,2,3,1
9,11,0,0,0.45,0.55,391,476,0.8034264184397164,0.8052482269503546,22,14,2,2,0,0,0,3,6,5,0
12,11,0,0,0.53,0.47,542,481,0.8034264184397164,0.8052482269503546,16,7,0,0,0,0,2,1,1,3,0
13,10,0,0,0.36,0.64,282,546,0.8034264184397164,0.8052482269503546,15,8,0,1,0,0,5,1,8,0,2
17,11,0,0,0.69,0.31,619,282,0.8034264184397164,0.8052482269503546,10,18,1,0,0,0,2,1,10,4,1
12,13,0,0,0.64,0.36,538,313,0.8034264184397164,0.8052482269503546,8,12,3,4,1,0,2,1,7,3,1
13,5,0,0,0.51,0.49,406,407,0.8034264184397164,0.8052482269503546,16,13,3,2,0,2,2,4,4,2,1
16,17,0,0,0.41,0.59,364,538,0.8034264184397164,0.8052482269503546,12,14,3,1,0,0,1,1,2,7,1
10,9,0,0,0.59,0.41,429,284,0.8034264184397164,0.8052482269503546,13,19,3,1,0,0,1,8,6,8,1
11,9,0,0,0.54,0.46,447,374,0.8034264184397164,0.8052482269503546,17,19,3,3,0,0,2,0,0,5,1
3,25,0,0,0.42,0.58,437,587,0.8034264184397164,0.8052482269503546,13,12,1,1,0,0,1,3,1,6,0
20,11,8,4,0.54,0.46,379,320,0.8034264184397164,0.8052482269503546,15,26,2,3,0,0,5,3,4,3,1
8,15,0,0,0.53,0.47,491,430,0.8034264184397164,0.8052482269503546,12,10,3,1,0,0,2,0,0,8,1
16,12,0,0,0.39,0.61,387,590,0.8034264184397164,0.8052482269503546,12,7,2,1,0,0,0,6,3,6,1
22,9,0,0,0.44,0.56,277,364,0.8034264184397164,0.8052482269503546,25,15,4,2,0,0,2,2,10,5,1
11,18,0,0,0.44,0.56,386,472,0.8034264184397164,0.8052482269503546,12,13,3,1,0,0,2,5,2,7,1
17,12,0,0,0.62,0.38,490,313,0.8034264184397164,0.8052482269503546,11,19,2,4,0,0,3,0,7,1,2
16,20,0,0,0.47,0.53,496,551,0.8034264184397164,0.8052482269503546,16,11,4,0,0,0,2,1,3,7,1
11,12,0,0,0.51,0.49,399,385,0.8034264184397164,0.8052482269503546,15,13,5,5,0,0,1,2,6,7,0
14,14,0,0,0.64,0.36,516,290,0.8034264184397164,0.8052482269503546,12,14,2,2,0,0,1,2,8,5,1
8,15,0,0,0.43,0.57,360,465,0.8034264184397164,0.8052482269503546,18,9,3,0,0,0,1,3,1,3,1
13,12,5,2,0.57,0.43,484,372,0.8034264184397164,0.8052482269503546,16,23,4,3,0,0,0,0,6,0,2
12,12,0,0,0.62,0.38,575,351,0.8034264184397164,0.8052482269503546,19,6,5,1,0,1,2,3,6,4,2
12,15,0,0,0.48,0.52,388,429,0.8034264184397164,0.8052482269503546,14,11,2,3,0,0,4,1,7,5,2
